trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.3, 'e': 0.34349070509966095}",20,0,-10.546459178638205,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
162,False,"{'a': 0.3, 'e': 0.3303360388839319}",20,12,18.197508852936476,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.3174415624631458}",20,12,-4.471439629195925,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.30482130668689283}",25,10,14.935964012327645,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.3, 'e': 0.29248778277952164}",20,3,17.012774585077292,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.3, 'e': 0.2804519696842817}",20,10,-35.22358035492955,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
167,False,"{'a': 0.3, 'e': 0.26872331670948785}",20,0,-31.831624098910755,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
168,False,"{'a': 0.3, 'e': 0.2573097604595117}",20,9,-22.52900441113622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.3, 'e': 0.246217754860193}",25,14,-5.602146511669265,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.23545231295634592}",20,13,-27.01480739146694,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.3, 'e': 0.2250170590680115}",25,14,20.18313511440972,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.2149142898402492}",35,13,-12.053756385577715,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.20514504270578512}",20,12,16.323648834161588,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.19570917029710172}",25,17,17.628942559768625,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.18660541939034114}",20,8,13.156563366523292,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.17783151303313602}",20,15,4.752175805398736,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.3, 'e': 0.1693842345974684}",20,6,23.4172892042496,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.16125951260224458}",25,0,27.751302713372354,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.3, 'e': 0.15345250526403406}",30,0,34.67861984978138,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.3, 'e': 0.14595768385425967}",35,15,17.789221465260294,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.13876891406338263}",20,12,16.974057903309184,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.13187953469411595}",25,20,12.435834398001589,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.3, 'e': 0.1252824331237588}",20,0,27.407362686777233,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.3, 'e': 0.11897011708820666}",20,14,-7.257786714960387,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
185,False,"{'a': 0.3, 'e': 0.11293478244540296}",25,7,5.3525921985491784,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
186,False,"{'a': 0.3, 'e': 0.10716837667275357}",30,8,-3.428844903865276,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.3, 'e': 0.10166265794054151}",20,12,13.315049775934048,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.3, 'e': 0.09640924968124577}",20,2,8.268785789354645,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
189,False,"{'a': 0.3, 'e': 0.09139969064277717}",20,14,11.779686340057292,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
